subj,condition,ageday,exp_look,unexp_look,sex,paper
1,1_twoobject,103.32,13.1,60,M,luo2011
2,1_twoobject,86.88,18.4,60,M,luo2011
3,1_twoobject,105.32,15.1,46.3,M,luo2011
4,1_twoobject,129.76,7.1,13.6,F,luo2011
5,1_twoobject,107.32,5.8,12,F,luo2011
6,1_twoobject,79.88,9,60,F,luo2011
7,1_twoobject,129.76,18.9,8,M,luo2011
8,1_twoobject,98.32,6,21,M,luo2011
9,1_twoobject,106.32,31,60,M,luo2011
10,1_twoobject,109.32,42.9,42.7,F,luo2011
11,1_twoobject,83.88,23.6,7.2,F,luo2011
12,1_twoobject,103.32,5.7,6.5,F,luo2011
13,1_oneobject,96.32,43.5,6.9,M,luo2011
14,1_oneobject,96.32,34.2,60,M,luo2011
15,1_oneobject,80.88,5.7,6.4,M,luo2011
16,1_oneobject,76.88,8.4,6.5,F,luo2011
17,1_oneobject,94.32,60,40.6,F,luo2011
18,1_oneobject,96.32,10.1,5.3,F,luo2011
19,1_oneobject,119.32,8.3,14.9,M,luo2011
20,1_oneobject,118.32,11.1,5.1,M,luo2011
21,1_oneobject,124.76,40.3,10.7,M,luo2011
22,1_oneobject,87.88,60,49.6,F,luo2011
23,1_oneobject,88.88,31.7,60,F,luo2011
24,1_oneobject,84.88,60,6.8,F,luo2011
25,2_differentpositions,85.88,11.1,60,M,luo2011
26,2_differentpositions,108.32,5.4,10.2,M,luo2011
27,2_differentpositions,118.32,14.2,25,M,luo2011
28,2_differentpositions,81.88,23.8,36.5,F,luo2011
29,2_differentpositions,89.88,16.2,60,F,luo2011
30,2_differentpositions,88.88,24.8,53.5,F,luo2011
31,2_differentpositions,87.88,20.2,52.9,M,luo2011
32,2_differentpositions,91.32,35.6,60,M,luo2011
33,2_differentpositions,88.88,20.2,8,M,luo2011
34,2_differentpositions,98.32,26.7,9.5,F,luo2011
35,2_differentpositions,92.32,40.7,30,F,luo2011
36,2_differentpositions,84.88,46.2,60,F,luo2011
37,1_effectiveactiontraining,108,7.566667,8.833333,m,skerry2013
38,1_effectiveactiontraining,121,4.866667,8.8,m,skerry2013
39,1_effectiveactiontraining,105,6.233333,4.633333,m,skerry2013
40,1_effectiveactiontraining,118,4.133333,4.2,f,skerry2013
41,1_effectiveactiontraining,103,8.466667,11.166667,m,skerry2013
42,1_effectiveactiontraining,111,12.9,15.8,f,skerry2013
43,1_effectiveactiontraining,107,7.5,6.566667,m,skerry2013
44,1_effectiveactiontraining,120,2.333333,2.233333,m,skerry2013
45,1_effectiveactiontraining,103,21.133333,18.9,f,skerry2013
46,1_effectiveactiontraining,93,4.533333,3.8,m,skerry2013
47,1_effectiveactiontraining,96,6.2,5.566667,f,skerry2013
48,1_effectiveactiontraining,99,6.566667,15.3,m,skerry2013
49,1_effectiveactiontraining,112,32.466667,35.233333,f,skerry2013
50,1_effectiveactiontraining,115,3.766667,5.633333,m,skerry2013
51,1_effectiveactiontraining,110,9.3,17.233333,m,skerry2013
52,1_effectiveactiontraining,111,8.566667,16.566667,m,skerry2013
53,1_effectiveactiontraining,99,4.733333,7.233333,f,skerry2013
54,1_effectiveactiontraining,116,4.7,6.166667,f,skerry2013
55,1_effectiveactiontraining,114,21.133333,16.333333,m,skerry2013
56,1_effectiveactiontraining,116,14.1,11.333333,f,skerry2013
57,2_ineffectiveactiontraining,113,12.1,4.9,f,skerry2013
58,2_ineffectiveactiontraining,119,18.466667,17,f,skerry2013
59,2_ineffectiveactiontraining,119,8.966667,8.933333,m,skerry2013
60,2_ineffectiveactiontraining,94,18.366667,13.666667,m,skerry2013
61,2_ineffectiveactiontraining,116,10,5.266667,f,skerry2013
62,2_ineffectiveactiontraining,104,31.266667,20.1,f,skerry2013
63,2_ineffectiveactiontraining,101,14.433333,7.266667,f,skerry2013
64,2_ineffectiveactiontraining,105,12.866667,16.166667,m,skerry2013
65,2_ineffectiveactiontraining,107,9.433333,8.666667,f,skerry2013
66,2_ineffectiveactiontraining,108,10.2,10.866667,m,skerry2013
67,2_ineffectiveactiontraining,98,4.033333,5.433333,m,skerry2013
68,2_ineffectiveactiontraining,107,10.166667,13.7,m,skerry2013
69,2_ineffectiveactiontraining,102,13.766667,9.066667,f,skerry2013
70,2_ineffectiveactiontraining,122,11.466667,13.233333,f,skerry2013
71,2_ineffectiveactiontraining,115,6.933333,11.7,m,skerry2013
72,2_ineffectiveactiontraining,97,6.333333,4.533333,f,skerry2013
73,2_ineffectiveactiontraining,97,14.566667,7.9,m,skerry2013
74,2_ineffectiveactiontraining,102,8.1,4.266667,m,skerry2013
75,2_ineffectiveactiontraining,109,21.166667,22,m,skerry2013
76,2_ineffectiveactiontraining,93,10.133333,11.7,f,skerry2013
77,3_notraining,107,6.4,4.5,m,skerry2013
78,3_notraining,118,2.3,2.2,f,skerry2013
79,3_notraining,108,8.166667,12.066667,f,skerry2013
80,3_notraining,118,14.433333,7.533333,m,skerry2013
81,3_notraining,118,7.4,10.166667,m,skerry2013
82,3_notraining,111,18.466667,6.466667,m,skerry2013
83,3_notraining,91,18.733333,14.833333,m,skerry2013
84,3_notraining,108,22.066667,15.666667,f,skerry2013
85,3_notraining,93,11.166667,8.133333,m,skerry2013
86,3_notraining,120,24.2,9.933333,m,skerry2013
